Director,Movie,Date,Rating
"John Huston (dir.), Humphrey Bogart, Walter Huston",Ο θησαυρός της Σιέρρα Μάντρε,(1948),8.1
"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill",Ο λύκος της Wall Street,(2013),8.1
"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster",Η δίκη της Νυρεμβέργης,(1961),8.1
"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson","Οι τρεις πινακίδες έξω από το Έμπινγκ, στο Μιζούρι",(2017),8.1
"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway",Chinatown,(1974),8.1
"Charles Chaplin (dir.), Charles Chaplin, Mack Swain",Ο χρυσοθήρας,(1925),8.1
"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly",Τηλεφωνήσατε ασφάλεια αμέσου δράσεως,(1954),8.1
"Pete Docter (dir.), Amy Poehler, Bill Hader",Τα μυαλά που κουβαλάς,(2015),8.1
"James McTeigue (dir.), Hugo Weaving, Natalie Portman",V for Vendetta,(2005),8.1
"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano",Θα χυθεί αίμα,(2007),8.1
"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte",Warrior,(2011),8.1
"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand",Η έβδομη σφραγίδα,(1957),8.1
"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay",Το δωμάτιο,(2015),8.1
"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner",Trainspotting,(1996),8.1
"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem",Καμιά πατρίδα για τους μελλοθάνατους,(2007),8.1
"David Lynch (dir.), Anthony Hopkins, John Hurt",Ο άνθρωπος ελέφαντας,(1980),8.1
"Sriram Raghavan (dir.), Ayushmann Khurrana, Tabu",Andhadhun,(2018),8.1
"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment",Η έκτη αίσθηση,(1999),8.1
"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer",Το νησί των καταραμένων,(2010),8.1
"John Carpenter (dir.), Kurt Russell, Wilford Brimley",Η απειλή,(1982),8.1
"David Lean (dir.), William Holden, Alec Guinness",Η γέφυρα του ποταμού Κβάι,(1957),8.1
"Victor Fleming (dir.), Clark Gable, Vivien Leigh",Όσα παίρνει ο άνεμος,(1939),8.1
"Carol Reed (dir.), Orson Welles, Joseph Cotten",Ο τρίτος άνθρωπος,(1949),8.1
"Ridley Scott (dir.), Harrison Ford, Rutger Hauer",Μπλέηντ Ράννερ,(1982),8.1
"Elia Kazan (dir.), Marlon Brando, Karl Malden",Το λιμάνι της αγωνίας,(1954),8.1
"Yavuz Turgul (dir.), Sener Sen, Ugur Yücel",Eskiya,(1996),8.1
"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson",Άγριες φράουλες,(1957),8.1
"Steven Spielberg (dir.), Sam Neill, Laura Dern",Τζουράσικ Παρκ,(1993),8.1
"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres",Ψάχνοντας τον Νέμο,(2003),8.1
"Clint Eastwood (dir.), Clint Eastwood, Bee Vang",Gran Torino,(2008),8.1
"Joel Coen (dir.), William H. Macy, Frances McDormand",Fargo,(1996),8.1
"Quentin Tarantino (dir.), Uma Thurman, David Carradine",Kill Bill Volume 1,(2003),8.1
"Michael Cimino (dir.), Robert De Niro, Christopher Walken",Ο ελαφοκυνηγός,(1978),8.1
"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama",Επίσκεψη στο Τόκυο,(1953),8.1
"Andrei Tarkovsky (dir.), Alisa Freyndlikh, Aleksandr Kaydanovskiy",Στάλκερ,(1979),8.1
"Joel Coen (dir.), Jeff Bridges, John Goodman",Ο μεγάλος Λεμπόφσκι,(1998),8.1
"Peter Weir (dir.), Jim Carrey, Ed Harris",Ζωντανή μετάδοση,(1998),8.1
"Damián Szifron (dir.), Darío Grandinetti, María Marull",Ιστορίες για αγρίους,(2014),8.1
"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman",Μαίρη και Μαξ,(2009),8.1
"Mel Gibson (dir.), Andrew Garfield, Sam Worthington",Αντιρρησίας συνείδησης,(2016),8.1
"David Fincher (dir.), Ben Affleck, Rosamund Pike",Το κορίτσι που εξαφανίστηκε,(2014),8.1
"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite",Εις το όνομα του πατρός,(1993),8.1
"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire",Sherlock Jr.,(1924),8.1
"Clyde Bruckman (dir.), Buster Keaton, Marion Mack",Ο στρατηγός,(1926),8.1
"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler",Πώς να εκπαιδεύσετε τον δράκο σας,(2010),8.1
"Frank Capra (dir.), James Stewart, Jean Arthur","Αμερική, η χώρα της ελευθερίας",(1939),8.1
"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham",The Grand Budapest Hotel,(2014),8.1
"Joon-ho Bong (dir.), Kang-ho Song, Sang-kyung Kim",Μνήμες εγκλήματος,(2003),8.1
"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann",Έρωτες χωρίς φραγμό,(1966),8.1
"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",Πριν το ξημέρωμα,(1995),8.1
"Michael Powell (dir.), Anton Walbrook, Marius Goring",The Red Shoes,(1948),8.1
"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks","Πιάσε με, αν μπορείς",(2002),8.1
"Sean Penn (dir.), Emile Hirsch, Vince Vaughn",Ταξίδι στην άγρια φύση,(2007),8.1
"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel",Το μεροκάματο του τρόμου,(1953),8.1
"Stuart Rosenberg (dir.), Paul Newman, George Kennedy",Ο μεγάλος δραπέτης,(1967),8.1
"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams",12 χρόνια σκλάβος,(2013),8.1
"Sidney Lumet (dir.), Faye Dunaway, William Holden",Το δίκτυο,(1976),8.1
"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal",Prisoners,(2013),8.1
"Terry Jones (dir.), Graham Chapman, John Cleese",Ένας προφήτης... μα τι προφήτης!,(1979),8.1
"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain",Το πάθος της Ζαν ντ’ Αρκ,(1928),8.1
"Rob Reiner (dir.), Wil Wheaton, River Phoenix",Στάσου πλάι μου,(1986),8.1
"Rakeysh Omprakash Mehra (dir.), Aamir Khan, Soha Ali Khan",Rang De Basanti,(2006),8.1
